2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationFactory.parseConfiguration(150) | Configuring ehcache from InputStream
2013-06-26 17:56:10 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==> Parameters: RMB(String)
2013-06-26 17:56:10 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@6055fc3f]
2013-06-26 18:00:26 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:00:26 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:00:26 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:04:57 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:04:57 INFO com.ts.web.CacheService.getClient(46) | get client from db forCSN
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Creating a new SqlSession
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Registering transaction synchronization for SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2c84b7c4]
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | JDBC Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver] will be managed by Spring
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ooo Using Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver]
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==>  Preparing: select `id`, `name`, `group`, `identity`, `secret`, `status` from wallet_client where identity=? and secret=?; 
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==> Parameters: CSN(String), 123456(String)
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2c84b7c4]
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization committing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2c84b7c4]
2013-06-26 18:04:57 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization closing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2c84b7c4]
2013-06-26 18:04:57 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:04:57 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:07:38 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:07:38 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:07:38 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:10:22 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:10:22 INFO com.ts.web.CacheService.getClient(46) | get client from db forCSN
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Creating a new SqlSession
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Registering transaction synchronization for SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@68bae9bb]
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | JDBC Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver] will be managed by Spring
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ooo Using Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver]
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==>  Preparing: select `id`, `name`, `group`, `identity`, `secret`, `status` from wallet_client where identity=? and secret=?; 
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==> Parameters: CSN(String), 123456(String)
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@68bae9bb]
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization committing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@68bae9bb]
2013-06-26 18:10:22 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization closing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@68bae9bb]
2013-06-26 18:10:22 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:10:22 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:13:54 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:13:54 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:13:54 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:15:10 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:15:10 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:15:10 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:16:04 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:16:04 INFO com.ts.web.CacheService.getClient(46) | get client from db forCSN
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Creating a new SqlSession
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Registering transaction synchronization for SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@210be7c2]
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | JDBC Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver] will be managed by Spring
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ooo Using Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver]
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==>  Preparing: select `id`, `name`, `group`, `identity`, `secret`, `status` from wallet_client where identity=? and secret=?; 
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==> Parameters: CSN(String), 123456(String)
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@210be7c2]
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization committing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@210be7c2]
2013-06-26 18:16:04 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization closing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@210be7c2]
2013-06-26 18:16:04 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:16:04 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:19:32 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:19:32 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:19:32 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:20:12 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:20:12 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:20:12 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:20:35 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:20:35 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:20:35 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:24:13 DEBUG com.googlecode.ehcache.annotations.impl.ExpiredElementEvictor.run(103) | Evicted 0 elements from cache 'getGameCode' in 4 ms
2013-06-26 18:24:13 DEBUG com.googlecode.ehcache.annotations.impl.ExpiredElementEvictor.run(103) | Evicted 0 elements from cache 'session' in 0 ms
2013-06-26 18:24:13 DEBUG com.googlecode.ehcache.annotations.impl.ExpiredElementEvictor.run(103) | Evicted 0 elements from cache 'getExchangeRate' in 0 ms
2013-06-26 18:24:13 DEBUG com.googlecode.ehcache.annotations.impl.ExpiredElementEvictor.run(103) | Evicted 1 elements from cache 'getClient' in 0 ms
2013-06-26 18:24:13 DEBUG com.googlecode.ehcache.annotations.impl.ExpiredElementEvictor.run(103) | Evicted 0 elements from cache 'getCurrency' in 0 ms
2013-06-26 18:24:13 DEBUG com.googlecode.ehcache.annotations.impl.ExpiredElementEvictor.run(113) | Evicted 1 elements from 5 caches  in 12 ms
2013-06-26 18:24:41 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:24:41 INFO com.ts.web.CacheService.getClient(46) | get client from db forCSN
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Creating a new SqlSession
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Registering transaction synchronization for SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@563d0987]
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | JDBC Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver] will be managed by Spring
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ooo Using Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver]
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==>  Preparing: select `id`, `name`, `group`, `identity`, `secret`, `status` from wallet_client where identity=? and secret=?; 
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==> Parameters: CSN(String), 123456(String)
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@563d0987]
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization committing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@563d0987]
2013-06-26 18:24:41 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization closing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@563d0987]
2013-06-26 18:24:41 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:24:41 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:34:38 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:34:38 INFO com.ts.web.CacheService.getClient(46) | get client from db forCSN
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Creating a new SqlSession
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Registering transaction synchronization for SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5fa74f6d]
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | JDBC Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver] will be managed by Spring
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ooo Using Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver]
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==>  Preparing: select `id`, `name`, `group`, `identity`, `secret`, `status` from wallet_client where identity=? and secret=?; 
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==> Parameters: CSN(String), 123456(String)
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5fa74f6d]
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization committing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5fa74f6d]
2013-06-26 18:34:38 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization closing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5fa74f6d]
2013-06-26 18:34:38 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:34:38 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:35:58 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:35:58 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:35:58 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:37:36 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:37:36 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:37:36 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:39:45 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1551385917040325986' for invocation: ReflectiveMethodInvocation: public com.ts.domain.WalletClient com.ts.web.CacheService.getClient(java.lang.String,java.lang.String); target is of class [com.ts.web.CacheService]
2013-06-26 18:39:45 INFO com.ts.web.CacheService.getClient(46) | get client from db forCSN
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Creating a new SqlSession
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Registering transaction synchronization for SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1254d032]
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | JDBC Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver] will be managed by Spring
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ooo Using Connection [jdbc:mysql://localhost/corewallet?autoReconnect=true, UserName=time_voyager@localhost, MySQL-AB JDBC Driver]
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==>  Preparing: select `id`, `name`, `group`, `identity`, `secret`, `status` from wallet_client where identity=? and secret=?; 
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | ==> Parameters: CSN(String), 123456(String)
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1254d032]
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization committing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1254d032]
2013-06-26 18:39:45 DEBUG org.apache.ibatis.logging.slf4j.Slf4jImpl.debug(47) | Transaction synchronization closing SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1254d032]
2013-06-26 18:39:45 INFO com.ts.web.BaseController.proxyValidate(78) | validate ticket result:<statusCode>00</statusCode>
<statusText>OK</statusText>
<memberId>testNew</memberId>
<testAccount>0</testAccount>
<currency>UUS</currency>
<language>en-US</language>
<country>CN</country>
<dob>01-01-1980</dob>
<requesterIp>220.220.220.111</requesterIp>
2013-06-26 18:39:45 DEBUG com.googlecode.ehcache.annotations.interceptor.EhCacheInterceptor.generateCacheKey(321) | Generated key '-1656456376265440' for invocation: ReflectiveMethodInvocation: public com.ts.domain.Currency com.ts.web.CacheService.getCurrencyByName(java.lang.String); target is of class [com.ts.web.CacheService]
